index,CSC,PSC1,PSC2
A1,37.237665077151334,74.89838167466438,67.96983662767043
A2,29.43895909757697,65.64286237949955,57.63905916644537
A3,26.331005491607186,57.921188785829116,48.69583675318962
A4,29.438959097576976,52.41568242857208,42.03532820965147
A5,37.237665077151334,49.86586351043876,38.84989116319982
B1,29.43895909757697,66.88046351979398,61.43088709223991
B2,18.61883253857566,56.322412985530974,49.76059022298979
B3,13.16550274580359,47.096633993338074,39.053037203790055
B4,18.618832538575667,40.13268727099781,30.345082228269504
B5,29.438959097576976,36.74007575904679,25.752072560083185
C1,26.331005491607186,60.68678726758245,57.22123741921673
C2,13.16550274580359,48.80680232048625,44.459334927404704
C3,1.0335528287983379e-14,37.78865810981864,32.025862013183215
C4,13.165502745803597,28.644761053812708,20.526571518090385
C5,26.331005491607193,23.658463919257578,12.793958104770818
D1,29.438959097576976,56.916050655317314,55.869911935967245
D2,18.618832538575667,44.030155871730244,42.70608282356875
D3,13.165502745803606,31.377274500482045,29.54374528785776
D4,18.618832538575674,19.41836782965716,16.386494018967124
D5,29.438959097576983,10.783023154786019,3.2958173391431598
E1,37.23766507715134,56.05932947008918,57.578511901391
E2,29.438959097576983,42.91696895781696,44.918231078031155
E3,26.331005491607204,29.795049144379064,32.65992741387689
E4,29.438959097576987,16.741702649528428,21.502445425568116
E5,37.23766507715134,4.414202849214622,14.307354227071007
CSC,0.0,37.78865810981864,32.02586201318323
PSC1,37.78865810981864,0.0,11.038066401030605
PSC2,32.02586201318323,11.038066401030605,0.0
