index,CSC,PSC1,PSC2
A1,54.313679316694625,40.165904393966045,28.158098470851314
A2,42.938733686183184,21.57055765737998,35.10401773084106
A3,38.405570956026295,7.400809397942424,49.08359759053358
A4,42.9387336861832,19.538396609450253,65.75409480968351
A5,54.313679316694625,38.02919726500767,83.51943699691377
B1,42.938733686183184,47.57303018097606,9.083445209465696
B2,27.1568396583473,33.39434506716957,22.84562383097493
B3,19.20278547801314,26.545532666712706,41.216865720341225
B4,27.156839658347312,32.1191884530574,60.1101609681762
B5,42.9387336861832,45.78332850979388,79.15255411962809
C1,38.405570956026295,60.42003364484402,10.470596185593118
C2,19.20278547801314,50.025688875908706,23.431750592621146
C3,1.5075074332375376e-14,45.73896117757306,41.54460768158765
C4,19.20278547801315,49.18363073144398,60.3353615985555
C5,38.4055709560263,59.021186318810386,79.32371165842561
D1,42.9387336861832,75.99645827877305,29.567748178028957
D2,27.156839658347312,68.02536845017767,36.24452074000122
D3,19.202785478013162,64.93792247120896,49.905638712019396
D4,27.156839658347323,67.40853608557487,66.36997971271367
D5,42.938733686183205,74.88912898246942,84.00517590664651
E1,54.31367931669464,92.93996350558616,48.74796426914767
E2,42.938733686183205,86.54378024032012,53.063900834174845
E3,38.40557095602632,84.1386291805324,63.18769708828905
E4,42.93873368618321,86.0597808659925,76.85757278975694
E5,54.31367931669464,92.03671433322322,92.51476567107213
CSC,0.0,45.73896117757305,41.544607681587635
PSC1,45.73896117757305,0.0,54.432464120289886
PSC2,41.544607681587635,54.432464120289886,0.0
