index,CSC,PSC1,PSC2
A1,38.28078383832276,39.52098788473753,19.495395971262802
A2,30.263616886415694,36.04814517219311,7.773802018671444
A3,27.068601841214413,37.46176264065195,10.351238302433625
A4,30.2636168864157,43.2857153429706,22.808307122211758
A5,38.28078383832276,52.06032316630309,36.05057858048329
B1,30.263616886415694,27.794558502574954,26.896600876826305
B2,19.14039191916137,22.585344126734043,20.094493585966877
B3,13.534300920607203,24.779278825503308,21.22509856384023
B4,19.14039191916138,32.92843986161767,29.386655958650678
B5,30.2636168864157,43.82814446388764,40.53394738535299
C1,27.068601841214413,18.695482987600247,37.85681465994406
C2,13.534300920607203,9.331739982960777,33.36914667693086
C3,1.0625051904501124e-14,13.82013968448313,34.06194484339957
C4,13.53430092060721,25.71508805170148,39.664679828559834
C5,27.06860184121442,38.702581941441494,48.50476438566243
D1,30.2636168864157,17.113132055393528,50.0919584013893
D2,19.14039191916138,5.515394429709993,46.79279677723577
D3,13.534300920607217,11.590274608667077,47.289343057436895
D4,19.140391919161388,24.588695738335687,51.471863247713515
D5,30.26361688641571,37.96350949977729,58.55576870298764
E1,38.28078383832277,24.54693659441282,62.861950173334385
E2,30.26361688641571,18.442136078558296,60.265963141261956
E3,27.068601841214427,21.071954653735812,60.652307869628615
E4,30.263616886415715,30.23734058308093,63.96696951786587
E5,38.28078383832277,41.84400627287576,69.79397202843556
CSC,0.0,13.82013968448313,34.06194484339956
PSC1,13.82013968448313,0.0,41.89987094852971
PSC2,34.06194484339956,41.89987094852971,0.0
