index,CSC,PSC1,PSC2
A1,41.72308037468437,59.51044089521875,45.19529584442015
A2,32.98499124556852,44.99268709395725,44.58434068901214
A3,29.502673064930676,30.698453826117408,48.6632917286864
A4,32.98499124556853,17.194536972011537,56.42404051516221
A5,41.72308037468437,9.171313702931194,66.59153544730881
B1,32.98499124556852,59.06423764321102,30.902539671841094
B2,20.86154018734218,44.40082752342718,30.001927044424242
B3,14.751336532465332,29.82426294386241,35.78362968699919
B4,20.861540187342186,15.580234096837364,45.782360574370976
B5,32.98499124556853,5.58610668247174,57.85140261856439
C1,29.502673064930676,62.21639350036437,17.39318857664854
C2,14.751336532465332,48.51524437312054,15.737588032227151
C3,1.1580481122565147e-14,35.662054230836446,25.060411095379788
C4,14.751336532465341,25.00078291435548,37.99448105258003
C5,29.502673064930683,20.334700383493004,51.90704032815186
D1,32.98499124556853,68.47173819174412,9.234875123362256
D2,20.861540187342186,56.31365950983981,5.516483187080067
D3,14.75133653246535,45.70865807229181,20.26780979658809
D4,20.861540187342193,37.980764304280356,35.01914476591483
D5,32.984991245568544,35.08560032966515,49.77048066183027
E1,41.72308037468438,77.07841527167908,17.413979648932234
E2,32.984991245568544,66.51264103300089,15.76056329649001
E3,29.50267306493069,57.80990047184262,25.074845615078136
E4,32.984991245568544,51.91571656957032,38.004003326036994
E5,41.72308037468438,49.83675872574038,51.914010767604466
CSC,0.0,35.662054230836446,25.060411095379788
PSC1,35.662054230836446,0.0,60.718891136750024
PSC2,25.060411095379788,60.718891136750024,0.0
